Troop,Council,Camp Site,Check-In Time
519 G,MTC,Shoshone,1:00
2019 G,COL,Shenandoah,2:45
176 G,COL,Seneca,3:00
10,NBOF,Shawnee,2:15
1,COL,Pueblo (L),2:45
272,COL,Cayuga,12:30
434,COL,Cherokee,12:45
147,COL,Cheyenne,2:30
252,COL,Comanche,2:00
200,WCC,Comanche,1:15
131,MTC,Chinook,1:15
1,GNYC,Chippewa,1:30
32,COL,Navajo (L),2:30
155,COL,Navajo (R),12:45
1719,COL,Mohawk,1:30
1313 G,COL,Mohawk,1:30
818 G,COL,Little Mohawk,1:00
79,COL,Two Feathers (L),2:00
79 G,COL,Two Feathers (R),2:00
13,GM,Running Fox,1:45
SEEK,RFSR,Bear Paw,12:30
RF 1,RFSR,Deer Run,12:30
3,COL,North Wind,1:45
660,PPC,North Wind,2:15
