Troop,Council,Camp Site,Check-In Time
401,COL,Shoshone,2:30
291,COL,Shenandoah,1:15
815,BAC,Seneca,1:45
603,DMC,Shawnee,2:30
505,HMC,Pueblo,2:00
11,COL,Pueblo (R),2:45
290,COL,Cayuga,12:30
3,COL,Cheyenne,2:15
283,DMVC,Comanche,1:30
118,NNJC,Chinook,3:00
109,MC,Chinook,12:45
126,COL,Chippewa,1:45
3 G,NCAC,Mohawk,12:45
111,COL,Little Mohawk,2:30
542,NEGA,Two Feathers,1:15
27,WCC,Two Feathers,1:00
1313 G,COL,Running Fox (L),2:15
186 G,WCC,Running Fox (R),1:30
208,COL,Deer Run,2:00
