Troop,Council,Camp Site,Check-In Time
85,COL,Shoshone,2:15
137,COL,Shenandoah,2:30
320,COL,Seneca,2:45
137,COL,Shawnee,1:30
399,COL,Pueblo,12:30
385,COL,Pueblo,12:45
150,PPC,Cayuga,12:45
354,COL,Cherokee,12:20
194,WCC,Cheyenne,1:45
371,WCPC,Comanche,1:15
371 G,WCPC,Comanche,1:15
71,JSC,Chinook,1:00
38,NBFC,Chinook (Back),3:00
430,COL,Chippewa,1:00
2,COL,Chippewa,1:15
315,COL,Navajo,2:00
159,PPC,Mohawk,2:30
406,COL,Two Feathers,2:15
193,PPC,Two Feathers,3:00
61,COL,Running Fox (R),1:30
140,CCC,Deer Run,2:00
101,HMC,North Wind,2:45
