Troop,Council,Camp Site,Check-In Time
427,BTC,Shoshone,1:45
57,GSC,Shenandoah,2:45
777,MMC,Seneca,2:30
214,COL,Shawnee,3:00
18,COL,Pueblo,3:00
1123,NCAC,Pueblo,3:00
542,COL,Cayuga,12:30
542,COL,Cherokee,12:30
1634,SCC,Cheyenne,2:45
547,COL,Comanche,1:00
55,JSC,Chinook,1:15
55,JSC,Chippewa,
1,GNYC,Chippewa,2:15
112,COL,Navajo,1:30
201 B,COL,Mohawk,2:15
201 G,COL,Little Mohawk,2:15
541 G,COL,Two Feathers (L),2:45
372,COL,Two Feathers (R),3:00
150,GNYC,Running Fox,2:00
22,COL,Bear Paw,2:00
RF 1,RFSR,Deer Run,12:30
181,COL,North Wind,2:30
