Troop,Council,Camp Site,Check-In Time
14,COL,Shoshone,1:30
339,DMV,Shenandoah,3:00
523,BAC,Seneca,2:45
277,COL,Shawnee,2:45
80,CRC,Pueblo,3:15
39 G,COL,Cayuga,2:30
1923 G,DMC,Cayuga,2:30
117,COL,Cherokee,12:45
2,DMVC,Cheyenne,12:30
100,GSC,Comanche,2:00
1,WCC,Chinook,2:15
108,WCC,Chippewa (front),1:45
358,COL,Chippewa (back),12:30
84,MTC,Navajo,1:00
493,COL,Mohawk,1:15
493,COL,Little Mohawk,
15,GSC,Two Feathers (L),1:15
300,COL,Running Fox,3:00
Seek,RFSR,Bear Paw,
70,DMVC,Deer Run,1:45
2,DMV,North Wind,2:15
